control_id,process,control_objective,risk_description,control_activity,control_type,frequency,automation
RC-REV-001,Order Entry,주문 정확성,영업 담당자가 주문 정보를 잘못 입력해 매출이 과대·과소 계상될 수 있다,주문 입력 시 ERP가 마스터(고객/품목/가격) 자동 검증을 수행하고 불일치 시 저장을 차단한다,Preventive,Per Transaction,Automated
RC-REV-002,Credit Check,신용 한도 통제,한도를 초과한 외상 매출이 승인 없이 처리될 수 있다,주문 저장 시 ERP가 고객 마스터의 credit_limit과 미수잔액 합계를 비교해 초과 시 hold 상태로 전환,Preventive,Per Transaction,Automated
RC-REV-003,Sales Approval,승인 통제,영업 담당자가 자기 주문을 단독 승인할 수 있다,5천만원 이상 주문은 영업팀장 1차 + 재무팀장 2차 워크플로 승인이 필수,Preventive,Per Transaction,IT-Dependent Manual
RC-REV-004,Pricing Override,가격 우회 통제,담당자가 표준가를 임의로 인하해 매출을 왜곡할 수 있다,할인율 10% 초과 시 시스템이 추가 승인 단계를 강제 호출,Preventive,Per Transaction,Automated
RC-REV-005,Shipping Match,출하-주문 일치,출하 수량이 주문 수량과 다르게 처리될 수 있다,WMS가 SO와 DO 라인을 자동 매칭, 차이 발생 시 출하 차단,Preventive,Per Transaction,Automated
RC-REV-006,Revenue Cut-off,기간 귀속,기말 매출 인식 cut-off 오류,기말 ±3영업일 매출 전표를 매월 재무팀이 출하증빙과 대사,Detective,Monthly,IT-Dependent Manual
RC-REV-007,Invoice Posting,자동 전기,수동 분개로 인한 매출 조작,SO→Invoice→GL 자동 인터페이스, 수동 JE는 통제계정 잠금,Preventive,Per Transaction,Automated
RC-REV-008,Manual JE Review,수동분개 검토,재무 담당자가 임의로 매출 분개를 등록할 수 있다,매출 관련 manual JE를 매월 CFO가 전수 리뷰 및 서명,Detective,Monthly,IT-Dependent Manual
RC-REV-009,Interface Monitoring,인터페이스 완전성,SO→GL 인터페이스 누락 거래 발생,일배치 인터페이스 로그를 IT운영팀이 매일 모니터링하고 reconciliation 보고서 발행,Detective,Daily,IT-Dependent Manual
RC-REV-010,User Access SoD,업무분장,주문등록자와 승인자가 동일인일 수 있다,GRC 룰셋이 등록·승인 역할 충돌을 분기마다 감지·보고,Detective,Quarterly,Automated
RC-REV-011,AR Aging Review,채권 회수,장기 미수채권의 매출 인식 적정성 검토,3개월 초과 미수채권을 매월 영업·재무 합동 회의에서 review,Detective,Monthly,Manual
RC-REV-012,Master Data Change,마스터 데이터 변경 통제,가격·고객 마스터의 무단 변경,마스터 변경은 메이커-체커 2단 승인 + 변경 로그 자동 보존,Preventive,Per Change,IT-Dependent Manual
RC-REV-013,Discount Auto-Approval,자동승인 임계값,저금액 거래의 자동승인 누적 효과로 통제 우회,자동승인 임계값(1천만원 미만)을 분기마다 재무팀이 합리성 재평가,Detective,Quarterly,IT-Dependent Manual
RC-REV-014,Credit Limit Override,한도 초과 예외,재무팀장이 credit hold를 임시 해제할 수 있다,override 발생 건 전수를 익월 CFO 보고서로 검토,Detective,Monthly,IT-Dependent Manual
